task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
numbers/selected_sum,selected_sum,baseline,150000,0,step_budget,,14,2,150000,0.5430489999999999,0.5439935,0,0,False
numbers/selected_sum,selected_sum,reuse_a,150000,0,found,['bench_learned_selected_sum'],7,1,59805,0.23208499999999965,0.23292212499999998,40,0,True
numbers/selected_sum,selected_sum,reuse_ab,150000,0,found,['bench_learned_selected_sum'],7,1,88982,0.2817970000000001,0.2841384160000002,40,0,True
numbers/selected_sum,selected_sum,reuse_ab,150000,1,found,['bench_learned_selected_sum'],7,1,88982,0.28484200000000026,0.28812620899999963,40,0,True
numbers/selected_sum,selected_sum,reuse_a,150000,1,found,['bench_learned_selected_sum'],7,1,59805,0.2513540000000001,0.2537041249999996,40,0,True
numbers/selected_sum,selected_sum,baseline,150000,1,step_budget,,14,2,150000,0.5487630000000001,0.551603375,0,0,False
numbers/selected_sum,selected_sum,baseline,450000,0,found,"['synth_select', 'synth_sum']",25,2,299431,0.9795259999999999,0.984295165999999,40,0,True
numbers/selected_sum,selected_sum,reuse_a,450000,0,found,['bench_learned_selected_sum'],7,1,59805,0.24648000000000003,0.24764625000000073,40,0,True
numbers/selected_sum,selected_sum,reuse_ab,450000,0,found,['bench_learned_selected_sum'],7,1,88982,0.27368599999999965,0.27775416699999944,40,0,True
numbers/selected_sum,selected_sum,reuse_ab,450000,1,found,['bench_learned_selected_sum'],7,1,88982,0.2876890000000003,0.2907452500000005,40,0,True
numbers/selected_sum,selected_sum,reuse_a,450000,1,found,['bench_learned_selected_sum'],7,1,59805,0.2537149999999997,0.2561010409999991,40,0,True
numbers/selected_sum,selected_sum,baseline,450000,1,found,"['synth_select', 'synth_sum']",25,2,299431,0.9830330000000007,0.9884690000000003,40,0,True
numbers/selected_sum,selected_sum,baseline,1350000,0,found,"['synth_select', 'synth_sum']",25,2,299431,1.024235000000001,1.0365098750000001,40,0,True
numbers/selected_sum,selected_sum,reuse_a,1350000,0,found,['bench_learned_selected_sum'],7,1,59805,0.24648199999999854,0.24747654100000105,40,0,True
numbers/selected_sum,selected_sum,reuse_ab,1350000,0,found,['bench_learned_selected_sum'],7,1,88982,0.27539100000000083,0.2764175840000007,40,0,True
numbers/selected_sum,selected_sum,reuse_ab,1350000,1,found,['bench_learned_selected_sum'],7,1,88982,0.2669270000000008,0.2678672500000001,40,0,True
numbers/selected_sum,selected_sum,reuse_a,1350000,1,found,['bench_learned_selected_sum'],7,1,59805,0.2435469999999995,0.24440804199999988,40,0,True
numbers/selected_sum,selected_sum,baseline,1350000,1,found,"['synth_select', 'synth_sum']",25,2,299431,0.9918589999999998,0.9974298340000001,40,0,True
numbers/selected_double_sum,selected_double_sum,reuse_a,150000,0,step_budget,,13,2,150000,0.5352049999999995,0.5391408339999995,0,0,False
numbers/selected_double_sum,selected_double_sum,reuse_ab,150000,0,found,['bench_learned_doubled_selected_sum'],8,1,106647,0.3337310000000002,0.3357372089999995,40,0,True
numbers/selected_double_sum,selected_double_sum,baseline,150000,0,step_budget,,14,2,150000,0.5840639999999979,0.5912934169999993,0,0,False
numbers/selected_double_sum,selected_double_sum,baseline,150000,1,step_budget,,14,2,150000,0.5646190000000004,0.5695114169999975,0,0,False
numbers/selected_double_sum,selected_double_sum,reuse_ab,150000,1,found,['bench_learned_doubled_selected_sum'],8,1,106647,0.3334399999999995,0.33607800000000054,40,0,True
numbers/selected_double_sum,selected_double_sum,reuse_a,150000,1,step_budget,,13,2,150000,0.5682309999999973,0.5746544579999977,0,0,False
numbers/selected_double_sum,selected_double_sum,reuse_a,450000,0,step_budget,,36,2,450000,1.5722800000000028,1.596998124999999,0,0,False
numbers/selected_double_sum,selected_double_sum,reuse_ab,450000,0,found,['bench_learned_doubled_selected_sum'],8,1,106647,0.3374449999999989,0.34140383299999755,40,0,True
numbers/selected_double_sum,selected_double_sum,baseline,450000,0,step_budget,,34,2,450000,1.4696870000000004,1.4864307920000002,0,0,False
numbers/selected_double_sum,selected_double_sum,baseline,450000,1,step_budget,,34,2,450000,1.4902280000000019,1.5075934160000024,0,0,False
numbers/selected_double_sum,selected_double_sum,reuse_ab,450000,1,found,['bench_learned_doubled_selected_sum'],8,1,106647,0.35056399999999854,0.3568286669999985,40,0,True
numbers/selected_double_sum,selected_double_sum,reuse_a,450000,1,step_budget,,36,2,450000,1.5860230000000008,1.6165964590000002,0,0,False
numbers/selected_double_sum,selected_double_sum,reuse_a,1350000,0,found,"['bench_learned_selected_sum', 'bench_double']",54,2,708646,2.31278,2.342354750000002,40,0,True
numbers/selected_double_sum,selected_double_sum,reuse_ab,1350000,0,found,['bench_learned_doubled_selected_sum'],8,1,106647,0.357603000000001,0.3655460000000019,40,0,True
